measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
26,Life expectancy,4743,European Union,3,Both,11,30 to 34,5,Years,2004,49.40103507368846,49.42270351777429,49.37996887098443
26,Life expectancy,4743,European Union,3,Both,12,35 to 39,5,Years,2004,44.58747838897584,44.60883395486238,44.5666605218796
26,Life expectancy,4743,European Union,3,Both,13,40 to 44,5,Years,2004,39.83060601712972,39.85153058831341,39.81016340215295
26,Life expectancy,4743,European Union,3,Both,14,45 to 49,5,Years,2004,35.18066375820501,35.200893896313424,35.16083272952939
26,Life expectancy,4743,European Union,3,Both,15,50 to 54,5,Years,2004,30.705337256094285,30.724610482631967,30.686570092417266
26,Life expectancy,4743,European Union,3,Both,16,55 to 59,5,Years,2004,26.40566075821038,26.423690056258213,26.388286377061814
26,Life expectancy,4743,European Union,3,Both,17,60 to 64,5,Years,2004,22.263655568112068,22.27978299907529,22.24811536545848
26,Life expectancy,4743,European Union,3,Both,18,65 to 69,5,Years,2004,18.333734951822265,18.347844365848996,18.32001510135139
26,Life expectancy,4743,European Union,3,Both,19,70 to 74,5,Years,2004,14.649636079080295,14.661841698462949,14.63761928115389
26,Life expectancy,4743,European Union,3,Both,20,75 to 79,5,Years,2004,11.328568452141518,11.338846514207267,11.318730148985654
26,Life expectancy,4743,European Union,3,Both,30,80 to 84,5,Years,2004,8.426654493292824,8.434545486525096,8.418844327727589
26,Life expectancy,4743,European Union,3,Both,31,85 to 89,5,Years,2004,6.101990775110138,6.107929531217244,6.096016476772978
26,Life expectancy,4743,European Union,3,Both,32,90 to 94,5,Years,2004,4.326393510245988,4.3307715756109255,4.322032820334823
26,Life expectancy,137,North Africa and Middle East,3,Both,8,15 to 19,5,Years,2010,60.058750312384,60.72519271500945,59.35359956780927
26,Life expectancy,137,North Africa and Middle East,3,Both,9,20 to 24,5,Years,2010,55.298802799399546,55.95013796920543,54.61335953506834
